score_threshold,w_shortage,w_value,w_bb,w_trend,w_risk,value_band,risk_ratio,max_lots_per_trade,lot_size,all_A_mean,all_A_median,all_A_winrate,all_B_mean,all_B_median,all_B_winrate,full_A_mean,full_B_mean,is_A_mean,is_B_mean,oos_A_mean,oos_B_mean,combo_score
0.4,0.65,0.05,0.05,0.25,-0.2,0.15,1.0,2,100,1.133641796083042,1.1199999999999999,0.9523809523809523,1.3246889157314161,1.25,0.9904761904761905,1.1385308370526122,1.3264866519939107,1.0893699481836798,1.1651145414763937,1.0799919167100924,1.176861952275467,1.1068168563965672
0.4,0.65,0.05,0.05,0.25,-0.2,0.25,1.0,2,100,1.133712378966088,1.1162790697674418,0.9428571428571428,1.3239510121428713,1.2460732984293192,0.9904761904761905,1.1407789661333994,1.3290229059007526,1.090640092746882,1.165214255426402,1.0797238844878614,1.176345504806747,1.1067181317269745
0.55,0.45,0.05,0.05,0.45,-0.1,0.25,1.0,2,100,1.1262254358568278,1.1136363636363635,0.9428571428571428,1.3189504660278955,1.25,0.9809523809523809,1.1324535273606302,1.3173457602840726,1.0972876532228466,1.1750807602408204,1.0813432539085017,1.1781327852298116,1.1037843448826647
0.55,0.45,0.05,0.05,0.45,-0.2,0.15,1.0,2,100,1.1311985995332199,1.1153846153846154,0.9428571428571428,1.3188685190627754,1.2352941176470589,0.9904761904761905,1.1364398497019754,1.3242675570652342,1.0767050376512606,1.1512493228956466,1.0750585028914668,1.167870630078339,1.1031285512123432
0.4,0.65,0.05,0.05,0.25,-0.2,0.25,1.3,2,100,1.1251764302043787,1.1136363636363635,0.9523809523809523,1.3197924107678032,1.256544502617801,0.9904761904761905,1.1287686471753495,1.3140582567480086,1.0911447480782286,1.1726876683068528,1.0796939748136047,1.1797063292744565,1.1024352025089916
