group,metric,n,mean_improvement,median_improvement,std_improvement,min_improvement,max_improvement,winrate,bootstrap_mean,bootstrap_lo95,bootstrap_hi95,wilcoxon_p,paired_t_p,cohen_d,eff_diff_mean,eff_diff_median
all_105,A_improvement,105,1.0594313147392005,1.0526315789473684,0.06595391186311018,0.9116161616161615,1.357142857142857,0.7714285714285715,1.0594313147392005,1.04671578712172,1.0721966013572004,3.8227786797823374e-14,1.7247747436516077e-09,0.6303084859063833,0.09224459211561414,0.07052166748046895
all_105,B_improvement,105,1.165083928500968,1.1176470588235294,0.15287570020266222,1.0,1.7727272727272725,0.9714285714285714,1.165083928500968,1.1362708910091235,1.1947465205662797,9.114842454194444e-19,5.98476187302065e-13,0.7890753737558274,0.1982108261556474,0.1313877197265625
full_10y,A_improvement,71,1.0709792584484787,1.0666666666666667,0.0656992709049742,0.9116161616161615,1.357142857142857,0.8309859154929577,1.0709792584484787,1.0554030939714814,1.0872848861166655,1.4654369239269095e-11,1.1045066084733463e-12,1.0085507056250331,0.10951220923768522,0.08450000000000002
full_10y,B_improvement,71,1.1838926456890413,1.1313131313131313,0.15206336709847934,1.0,1.727272727272727,0.9859154929577465,1.1838926456890413,1.150030736021565,1.2230803097999103,1.779734730030699e-13,5.615803058612239e-13,1.0275016403648372,0.2206483995213755,0.16363391113281245
short_history,A_improvement,34,1.0353164911110024,1.028718653383717,0.06055397878298749,0.9117647058823529,1.25,0.6470588235294118,1.0353164911110024,1.0154824445494697,1.0553893172058066,0.0004472150323730774,0.0565407087201481,0.27916348928691853,0.056185744595995124,0.02302038574218751
short_history,B_improvement,34,1.1258069014317558,1.0816176470588235,0.14917798554770825,1.0,1.7727272727272725,0.9411764705882353,1.1258069014317558,1.0808258304793301,1.1778702829581595,3.976442071346362e-07,0.0039945091959845075,0.48425071942723,0.1513558935389799,0.07878333333333332
