date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-01-02,10.006667137145996,10.006667137145996,,,0.14749715476430347,500.0,500.0,0,0.35,0.0,0.0,0.0,49,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2014-01-03,9.970666885375977,10.003238541739327,,,0.14749715476430347,500.0,500.0,0,0.5056981944795201,0.1012694445082184,1.0,0.3708886111557529,50,2,2,2,19.941333770751953,1.0,0.016280555655772053,0.0,1.0,0.0
2014-01-06,9.800000190734863,9.98388250831033,,,0.14749715476430347,480.05866622924805,500.0,2,0.5182539189227966,0.1240980344050847,1.0,0.3868686240835593,48,2,2,2,19.600000381469727,0.9600644699667586,0.09208958409837452,0.0,1.0,0.0
2014-01-07,9.957332611083984,9.981353946669724,,,0.14749715476430347,460.4586658477783,500.0,4,0.47626379562380294,0.04775235567964169,1.0,0.33342664897574925,46,2,2,2,19.91466522216797,0.9201491684266422,0.01203310478422351,0.0,1.0,0.0
2014-01-08,10.085332870483398,9.991256701318646,,,0.14749715476430347,440.54400062561035,500.0,6,0.3080367218544617,0.0,0.0,0.0,43,0,0,0,0.0,0.8801049195841762,0.0,0.0,0.0,0.0
2014-01-09,9.835332870483398,9.97640681266767,,,0.14749715476430347,440.54400062561035,500.0,6,0.4828454157356583,0.059718937701196906,1.0,0.34180325639083786,44,2,2,2,19.670665740966797,0.880283118247988,0.07070378385389313,0.0,1.0,0.0
2014-01-10,9.714667320251465,9.951479241961366,,,0.14749715476430347,420.87333488464355,500.0,8,0.4859158631015842,0.0653015692756076,1.0,0.34571109849292536,43,2,2,2,19.42933464050293,0.8407763321286181,0.11898327673305119,0.0,1.0,0.0
2014-01-13,9.28933334350586,9.888417727822747,,,0.14749715476430347,401.4440002441406,500.0,10,0.5368038695828083,0.15782521742328787,1.0,0.41047765219630156,43,2,2,2,18.57866668701172,0.8022316454435451,0.30292226765019303,0.0,1.0,0.0
2014-01-14,10.751333236694336,9.970600157239089,,,0.14749715476430347,382.8653335571289,500.0,12,0.2662469586791916,0.0,0.0,0.0,35,0,0,0,0.0,0.7607055962262619,0.0,0.0,0.0,0.0
2014-01-15,10.942000389099121,10.063114465035282,,,0.14749715476430347,382.8653335571289,500.0,12,0.2654698384937036,0.0,0.0,0.0,34,0,0,0,0.0,0.7584852528391532,0.0,0.0,0.0,0.0
2014-01-16,11.39799976348877,10.190246398221328,,,0.14749715476430347,382.8653335571289,500.0,12,0.2644019302549408,0.0,0.0,0.0,33,0,0,0,0.0,0.7554340864426881,0.0,0.0,0.0,0.0
2014-01-17,11.333999633789062,10.299175277799208,,,0.14749715476430347,382.8653335571289,500.0,12,0.2634869276664866,0.0,0.0,0.0,33,0,0,0,0.0,0.752819793332819,0.0,0.0,0.0,0.0
2014-01-21,11.778667449951172,10.440079294194634,,,0.14749715476430347,382.8653335571289,500.0,12,0.2623033339287651,0.0,0.0,0.0,32,0,0,0,0.0,0.7494380969393288,0.0,0.0,0.0,0.0
2014-01-22,11.904000282287598,10.579500340679678,,,0.14749715476430347,382.8653335571289,500.0,12,0.26113219713829067,0.0,0.0,0.0,32,0,0,0,0.0,0.7460919918236877,0.0,0.0,0.0,0.0
