date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-01-02,10.006667137145996,10.006667137145996,,,0.14749715476430347,500.0,500.0,0,0.45,0.08333333333333331,1.0,0.45,49,2,2,2,20.013334274291992,1.0,0.0,0.0,0.0,0.0
2014-01-03,9.970666885375977,10.003238541739327,,,0.14749715476430347,479.986665725708,500.0,2,0.5893204206699666,0.3155340344499443,1.0,0.5893204206699666,48,3,3,3,29.91200065612793,0.9599870458330427,0.016280555655772053,0.0,1.0,0.0
2014-01-06,9.800000190734863,9.98388250831033,,,0.14749715476430347,450.0746650695801,500.0,5,0.596512841556872,0.3275214025947867,1.0,0.596512841556872,45,3,3,3,29.40000057220459,0.9001611749168967,0.09208958409837452,0.0,1.0,0.0
2014-01-07,9.957332611083984,9.981353946669724,,,0.14749715476430347,420.6746644973755,500.0,8,0.5335491487368785,0.2225819145614642,1.0,0.5335491487368785,42,3,3,3,29.871997833251953,0.8402983368532844,0.01203310478422351,0.0,1.0,0.0
2014-01-08,10.085332870483398,9.991256701318646,,,0.14749715476430347,390.80266666412354,500.0,11,0.3510865586569454,0.0,0.0,0.0,38,0,0,0,0.0,0.7801923525709897,0.0,0.0,0.0,0.0
2014-01-09,9.835332870483398,9.97640681266767,,,0.14749715476430347,390.80266666412354,500.0,11,0.533050275288842,0.2217504588147366,1.0,0.533050275288842,39,3,3,3,29.505998611450195,0.7805190501213113,0.07070378385389313,0.0,1.0,0.0
2014-01-10,9.714667320251465,9.951479241961366,,,0.14749715476430347,361.29666805267334,500.0,14,0.5281538360811598,0.21358972680193306,1.0,0.5281538360811598,37,3,3,3,29.144001960754395,0.7213585812250818,0.11898327673305119,0.0,1.0,0.0
2014-01-13,9.28933334350586,9.888417727822747,,,0.14749715476430347,332.15266609191895,500.0,17,0.5850222292068988,0.308370382011498,1.0,0.5850222292068988,35,3,3,3,27.868000030517578,0.6637937972540267,0.30292226765019303,0.0,1.0,0.0
2014-01-14,10.751333236694336,9.970600157239089,,,0.14749715476430347,304.28466606140137,500.0,20,0.2705291971696964,0.0,0.0,0.0,28,0,0,0,0.0,0.6011759937104365,0.0,0.0,0.0,0.0
2014-01-15,10.942000389099121,10.063114465035282,,,0.14749715476430347,304.28466606140137,500.0,20,0.26886393962936495,0.0,0.0,0.0,27,0,0,0,0.0,0.5974754213985888,0.0,0.0,0.0,0.0
2014-01-16,11.39799976348877,10.190246398221328,,,0.14749715476430347,304.28466606140137,500.0,20,0.2665755648320161,0.0,0.0,0.0,26,0,0,0,0.0,0.5923901440711469,0.0,0.0,0.0,0.0
2014-01-17,11.333999633789062,10.299175277799208,,,0.14749715476430347,304.28466606140137,500.0,20,0.26461484499961424,0.0,0.0,0.0,26,0,0,0,0.0,0.5880329888880317,0.0,0.0,0.0,0.0
2014-01-21,11.778667449951172,10.440079294194634,,,0.14749715476430347,304.28466606140137,500.0,20,0.2620785727044966,0.0,0.0,0.0,25,0,0,0,0.0,0.5823968282322146,0.0,0.0,0.0,0.0
