date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-01-02,0.3738436698913574,0.3738436698913574,,,0.14749715476430347,500.0,500.0,0,0.45,0.08333333333333331,1.0,0.45,1337,2,2,2,0.7476873397827148,1.0,0.0,0.0,0.0,0.0
2014-01-03,0.3693651258945465,0.37341714189166114,,,0.14749715476430347,499.2523126602173,500.0,2,0.6237430003808847,0.3729050006348078,1.0,0.6237430003808847,1351,3,3,3,1.1080953776836395,0.9985063314324334,0.054255891636199136,0.0,1.0,0.0
2014-01-06,0.37431517243385315,0.3735026686099651,,,0.14749715476430347,498.14421728253365,500.0,5,0.44831923799125517,0.08053206331875859,1.0,0.44831923799125517,1330,2,2,2,0.7486303448677063,0.9962649733139004,0.0,0.0,0.0,0.0
2014-01-07,0.3804437518119812,0.37416372415301424,,,0.14749715476430347,497.39558693766594,500.0,7,0.447642768537836,0.07940461422972667,1.0,0.447642768537836,1307,2,2,2,0.7608875036239624,0.9947617078618578,0.0,0.0,0.0,0.0
2014-01-08,0.3856295943260193,0.37525571178853856,,,0.14749715476430347,496.634699434042,500.0,9,0.44696042873451286,0.07826738122418807,1.0,0.44696042873451286,1287,2,2,2,0.7712591886520386,0.9932453971878064,0.0,0.0,0.0,0.0
2014-01-09,0.3712508976459503,0.3748743009178159,,,0.14749715476430347,495.86344024538994,500.0,11,0.6180364538310735,0.3633940897184559,1.0,0.6180364538310735,1335,3,3,3,1.113752692937851,0.991752765379808,0.048328243133688664,0.0,1.0,0.0
2014-01-10,0.37077945470809937,0.37448431556450956,,,0.14749715476430347,494.7496875524521,500.0,14,0.6175412734822088,0.3625687891370146,1.0,0.6175412734822088,1334,3,3,3,1.112338364124298,0.9895144391641937,0.04946616857404791,0.0,1.0,0.0
2014-01-13,0.36205801367759705,0.3733008582419465,,,0.14749715476430347,493.6373491883278,500.0,17,0.6620526064638216,0.43675434410636926,1.0,0.6620526064638216,1363,3,3,3,1.0861740410327911,0.9873077708197738,0.15058691021094084,0.0,1.0,0.0
2014-01-14,0.37337231636047363,0.3733076637770443,,,0.14749715476430347,492.551175147295,500.0,20,0.4432804620520132,0.072134103420022,1.0,0.4432804620520132,1319,2,2,2,0.7467446327209473,0.9850676934489182,0.0,0.0,0.0,0.0
2014-01-15,0.377379447221756,0.37369545267654064,,,0.14749715476430347,491.80443051457405,500.0,22,0.4426008300370045,0.07100138339500749,1.0,0.4426008300370045,1303,2,2,2,0.754758894443512,0.9835574000822322,0.0,0.0,0.0,0.0
2014-01-16,0.3785580098628998,0.37415855336095577,,,0.14749715476430347,491.04967162013054,500.0,24,0.44191817524740334,0.06986362541233887,1.0,0.44191817524740334,1297,2,2,2,0.7571160197257996,0.9820403894386741,0.0,0.0,0.0,0.0
2014-01-17,0.3769080936908722,0.3744204143447573,,,0.14749715476430347,490.29255560040474,500.0,26,0.4412385623043327,0.06873093717388784,1.0,0.4412385623043327,1300,2,2,2,0.7538161873817444,0.9805301384540727,0.0,0.0,0.0,0.0
2014-01-21,0.3783223330974579,0.37479202565453834,,,0.14749715476430347,489.538739413023,500.0,28,0.4405552409535056,0.06759206825584267,1.0,0.4405552409535056,1293,2,2,2,0.7566446661949158,0.9790116465633458,0.0,0.0,0.0,0.0
