date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-01-02,17.140668869018555,17.140668869018555,,,0.14749715476430347,500.0,500.0,0,0.45,0.08333333333333331,1.0,0.45,29,2,2,2,34.28133773803711,1.0,0.0,0.0,0.0,0.0
2014-01-03,16.7641544342041,17.10481035141718,,,0.14749715476430347,465.7186622619629,500.0,2,0.6140218828456783,0.3567031380761304,1.0,0.6140218828456783,27,3,3,3,50.292463302612305,0.9315807585943313,0.0995789810627315,0.0,1.0,0.0
2014-01-06,16.85556983947754,17.08107315980388,,,0.14749715476430347,415.4261989593506,500.0,5,0.5528395380643307,0.2547325634405512,1.0,0.5528395380643307,24,3,3,3,50.56670951843262,0.8291892684019612,0.06600970507432936,0.0,1.0,0.0
2014-01-07,16.735031127929688,17.04811677581586,,,0.14749715476430347,364.85948944091797,500.0,8,0.5185744110716869,0.19762401845281147,1.0,0.5185744110716869,21,3,3,3,50.20509338378906,0.7272301315869463,0.09182411523902445,0.0,1.0,0.0
2014-01-08,16.84100341796875,17.028391694116134,,,0.14749715476430347,314.6543960571289,500.0,11,0.45617895998785263,0.09363159997975434,1.0,0.45617895998785263,18,2,2,2,33.6820068359375,0.625375382729445,0.05502230613244971,0.0,1.0,0.0
2014-01-09,16.625953674316406,16.99006426365902,,,0.14749715476430347,280.9723892211914,500.0,13,0.4494355375367848,0.08239256256130793,1.0,0.4494355375367848,16,2,2,2,33.25190734863281,0.5582583291448655,0.10715397649243397,0.0,1.0,0.0
2014-01-10,16.515003204345703,16.944820353248225,,,0.14749715476430347,247.7204818725586,500.0,15,0.42831773951125374,0.047196232518756195,1.0,0.42831773951125374,14,2,2,2,33.030006408691406,0.49165538940255327,0.12682847617801055,0.0,1.0,0.0
2014-01-13,16.60146713256836,16.912120046516808,,,0.14749715476430347,214.6904754638672,500.0,17,0.3825740390998111,0.0,0.0,0.0,12,0,0,0,0.0,0.42498791841842853,0.09184327958115167,0.0,1.0,0.0
2014-01-14,16.931808471679688,16.91399513462756,,,0.14749715476430347,214.6904754638672,500.0,17,0.19121587444019836,0.0,0.0,0.0,12,0,0,0,0.0,0.424924165422663,0.0,0.0,0.0,0.0
2014-01-15,17.27174949645996,16.948066978611596,,,0.14749715476430347,214.6904754638672,500.0,17,0.1906945752272426,0.0,0.0,0.0,12,0,0,0,0.0,0.42376572272720575,0.0,0.0,0.0,0.0
