date,price,score,q_score,q_cash,q_exec,buy_lots,buy_shares,cost,cash_after,contribution_cum,shares_after,shortage,value,bb,trend,risk
2014-01-02,17.140668869018555,0.45,0.08333333333333331,1.0,0.45,2,2,34.28133773803711,465.7186622619629,500.0,2,1.0,0.0,0.0,0.0,0.0
2014-01-03,16.7641544342041,0.6140218828456783,0.3567031380761304,1.0,0.6140218828456783,3,3,50.292463302612305,415.4261989593506,500.0,5,0.9315807585943313,0.0995789810627315,0.0,1.0,0.0
2014-01-06,16.85556983947754,0.5528395380643307,0.2547325634405512,1.0,0.5528395380643307,3,3,50.56670951843262,364.85948944091797,500.0,8,0.8291892684019612,0.06600970507432936,0.0,1.0,0.0
2014-01-07,16.735031127929688,0.5185744110716869,0.19762401845281147,1.0,0.5185744110716869,3,3,50.20509338378906,314.6543960571289,500.0,11,0.7272301315869463,0.09182411523902445,0.0,1.0,0.0
2014-01-08,16.84100341796875,0.45617895998785263,0.09363159997975434,1.0,0.45617895998785263,2,2,33.6820068359375,280.9723892211914,500.0,13,0.625375382729445,0.05502230613244971,0.0,1.0,0.0
2014-01-09,16.625953674316406,0.4494355375367848,0.08239256256130793,1.0,0.4494355375367848,2,2,33.25190734863281,247.7204818725586,500.0,15,0.5582583291448655,0.10715397649243397,0.0,1.0,0.0
2014-01-10,16.515003204345703,0.42831773951125374,0.047196232518756195,1.0,0.42831773951125374,2,2,33.030006408691406,214.6904754638672,500.0,17,0.49165538940255327,0.12682847617801055,0.0,1.0,0.0
2014-01-28,15.695673942565918,0.4985287859888301,0.1642146433147168,1.0,0.4985287859888301,2,2,31.391347885131836,183.29912757873535,500.0,19,0.42641482083099996,0.34809359247751126,0.0,1.0,0.0
2014-01-29,15.517486572265625,0.4782049527644322,0.13034158794072032,1.0,0.4782049527644322,2,2,31.03497314453125,152.2641544342041,500.0,21,0.3638295733014672,0.36551476617504886,0.0,1.0,0.0
2014-01-30,15.487425804138184,0.6394134283129076,0.3990223805215126,1.0,0.6394134283129076,3,3,46.46227741241455,105.80187702178955,500.0,24,0.3018798700849145,0.3412610817215469,1.0,1.0,0.0
2014-02-03,15.541651725769043,0.44962283063563524,0.0827047177260587,1.0,0.44962283063563524,2,2,31.083303451538086,574.7185735702515,1000.0,26,0.605836956203538,0.2684600029237313,0.0,1.0,0.9381080097163588
2014-02-26,16.127857208251953,0.4536454536144583,0.08940908935743046,1.0,0.4536454536144583,2,2,32.255714416503906,542.4628591537476,1000.0,28,0.5718644017167551,0.10290327298204108,0.0,1.0,0.0
2014-03-03,16.4523868560791,0.4516284788065724,0.08604746467762067,1.0,0.4516284788065724,2,2,32.9047737121582,1009.5580854415894,1500.0,30,0.6927704757152575,0.0019253190516331997,0.0,1.0,0.10984628838528332
2014-03-14,16.356678009033203,0.44679762793604005,0.07799604656006673,1.0,0.44679762793604005,2,2,32.713356018066406,976.844729423523,1500.0,32,0.6695834205004778,0.04968000279875373,0.0,1.0,0.268709125486142
2014-03-17,16.42057991027832,0.4317410085716242,0.05290168095270692,1.0,0.4317410085716242,2,2,32.84115982055664,944.0035696029663,1500.0,34,0.647759329173229,0.027466534026652736,0.0,1.0,0.22110629868322618
2014-03-20,16.4816837310791,0.42742206114610937,0.045703435243515576,1.0,0.42742206114610937,2,2,32.9633674621582,911.0402021408081,1500.0,36,0.62561367594159,0.01070408785140355,0.0,1.0,0.0892093256073776
2014-04-04,16.57894515991211,0.47774931274963905,0.12958218791606507,1.0,0.47774931274963905,2,2,33.15789031982422,1377.882311820984,2000.0,38,0.6995414371427763,0.0339073374948876,0.0,1.0,0.02302635837309741
2014-04-07,16.31865119934082,0.4978894437860805,0.16314907297680084,1.0,0.4978894437860805,2,2,32.63730239868164,1345.2450094223022,2000.0,40,0.6835251359476008,0.10143761786813708,0.0,1.0,0.053437954310015634
2014-04-08,16.317707061767578,0.4907216846313195,0.1512028077188658,1.0,0.4907216846313195,2,2,32.635414123535156,1312.609595298767,2000.0,42,0.6675140207848245,0.09221197829601695,0.0,1.0,0.01155014955059186
