ticker,requested_at_jst,actual_bar_time_jst,Open,High,Low,Close,Adj Close,Volume,status
4881.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,80.0,83.0,80.0,82.0,82.0,112900.0,OK
3911.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,226.0,228.0,224.0,224.0,224.0,221300.0,OK
2385.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,242.0,244.0,235.0,235.0,225.40817260742188,148200.0,OK
4892.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,577.0,594.0,576.0,590.0,590.0,108200.0,OK
6999.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1368.0,1377.0,1361.0,1372.0,1356.9716796875,160700.0,OK
8388.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4385.0,4505.0,4350.0,4385.0,4324.3017578125,139100.0,OK
6532.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,6572.0,6584.0,6485.0,6500.0,6419.970703125,424400.0,OK
6460.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2472.0,2495.0,2448.0,2448.0,2420.816162109375,715700.0,OK
9519.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,700.0,703.0,683.0,685.0,685.0,405000.0,OK
9601.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,11830.0,11980.0,11760.0,11870.0,11829.1748046875,61200.0,OK
8362.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2570.0,2619.0,2545.0,2591.0,2531.41064453125,48100.0,OK
6961.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,9320.0,9360.0,9220.0,9290.0,9256.794921875,48200.0,OK
4911.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2310.0,2322.5,2272.5,2278.0,2251.444580078125,2193400.0,OK
7383.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,553.0,554.0,526.0,526.0,526.0,985300.0,OK
5032.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4980.0,4980.0,4825.0,4850.0,4781.47314453125,489500.0,OK
9310.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1142.0,1144.0,1134.0,1136.0,1114.323974609375,30400.0,OK
8084.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3600.0,3645.0,3595.0,3610.0,3536.540771484375,18900.0,OK
3778.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2780.0,2815.0,2763.0,2780.0,2774.69873046875,394000.0,OK
4443.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1751.0,1753.0,1724.0,1734.0,1731.2406005859375,427000.0,OK
2726.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2050.0,2057.0,2033.0,2036.0,1986.552490234375,284100.0,OK
